timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
160435947436,30317,5,0,9179.3956571052,940.9888338022,18416.9407373273,13493.8906027649,17231.9774145282,10831.5498671179,24206.9149351306,29189.1852501301,214.5043272916,-182.5032846473,16941.7535099074,10280.5965549751,-6486.3314869803,17796.7045594746,-5009.8058129099,8761.6421220831
160435947436,30317,5,0,9184.4939220740,942.1691003940,18406.6833689055,13492.2479636938,17230.3226077603,10832.2190904432,24204.6760789151,29187.7981326923,213.1658806411,-184.5231223199,16940.0865354427,10279.5014622610,-6487.0615487897,17781.7261246856,-5017.4471265147,8759.3789304741
160436102455,30322,5,0,9173.9566966253,953.4120522584,18491.8572466661,13516.0479786795,17225.8813984199,10827.7535457092,24202.0356887046,29186.1554936212,207.5200693153,-186.0440844228,16926.1058517931,10271.1544222405,-6493.0480556265,17783.7216269645,-5032.8270952989,8749.4014190793
160436102455,30322,5,0,9157.5059705207,946.8049928836,18455.6340132242,13504.4156605168,17221.0143196907,10824.4195967797,24200.7702482350,29183.1379048091,204.3929712318,-190.5461322473,16924.5362189029,10271.1787576341,-6495.1408994801,17781.4097645682,-5035.4309824190,8748.8903758127
160436102455,30322,5,0,9140.4225241813,944.7486521205,18410.7960504317,13492.8076777477,17221.0143196907,10823.3610071561,24200.8797575064,29182.7850416013,203.8454248747,-191.9819204724,16925.3271191964,10271.5681239325,-6494.8245393627,17781.3854291745,-5039.0204529818,8747.3207429225
160436102455,30322,5,0,9140.1791702449,947.1700237883,18411.2584229109,13497.1272101198,17221.9999031334,10825.5511925842,24201.9870179173,29183.5759418948,204.8188406206,-190.8381569710,16927.6268138960,10272.8822351894,-6493.7902851327,17786.2525079037,-5038.3633973534,8748.5375126048
160436102455,30322,5,0,9152.3955378551,950.7716620479,18452.3365673852,13510.3413288695,17222.4744433095,10826.8531361443,24204.5909050374,29186.8003815529,206.0477779997,-188.5749653620,16931.0581044000,10273.4297815464,-6493.2305710789,17792.0930023787,-5035.0902869080,8749.7421145903
160436102455,30322,5,0,9150.7042279967,949.7860786052,18484.4227839073,13517.0578975158,17220.9291458130,10825.7215403397,24204.2137064359,29186.4596860418,205.9261010315,-188.4411206969,16933.3699667964,10275.1454267984,-6491.6122674014,17795.6216344574,-5033.3989770496,8750.3626671283
160436102455,30322,5,0,9138.6703758388,948.5449735293,18462.6547742910,13509.8667886934,17225.6137090898,10828.1307443107,24206.2213764116,29188.9783992842,209.3938946260,-187.1391771368,16936.3388848212,10275.5834638840,-6490.5050069905,17793.9303245990,-5030.6977483549,8751.8227907470
160436102455,30322,5,0,9130.0678141850,947.1213530010,18419.5081213569,13498.9401969464,17227.7795591243,10830.0045696214,24206.4647303481,29186.9463939147,209.7954286212,-184.1459237184,16936.7769219068,10274.1111725685,-6487.9132875673,17793.7964799339,-5027.9600165697,8753.1612373975
160436182367,30323,5,0,9134.9713960046,952.8645059014,18416.5270356353,13498.6360045259,17227.8160622148,10831.7932210544,24206.0145255657,29185.7539596261,209.4790685038,-183.6592158455,16934.9030965961,10271.0570806659,-6487.4144119975,17790.7788911218,-5029.5418171567,8752.6623618278
